row_id,verdict
5,noise
6,noise
7,relevant
8,relevant
9,noise
0,relevant
1,noise
2,relevant
3,noise
4,noise
10,noise
11,noise
12,noise
13,noise
14,noise
15,noise
16,noise
17,noise
18,noise
19,relevant
25,relevant
26,relevant
27,noise
28,relevant
29,relevant
20,relevant
21,relevant
22,relevant
23,relevant
24,noise
30,relevant
31,relevant
32,relevant
33,relevant
34,noise
35,noise
36,relevant
37,relevant
38,relevant
39,relevant
40,relevant
41,noise
42,relevant
43,relevant
44,noise
45,relevant
46,noise
47,noise
48,relevant
49,noise
50,relevant
51,noise
52,noise
53,noise
54,noise
60,noise
61,noise
62,noise
63,noise
64,noise
65,relevant
66,noise
67,noise
68,noise
69,relevant
70,noise
71,relevant
72,noise
73,noise
74,noise
75,relevant
76,relevant
77,noise
78,noise
79,noise
55,noise
56,noise
57,noise
58,noise
59,noise
85,noise
86,relevant
87,noise
88,noise
89,relevant
90,relevant
91,relevant
92,noise
93,relevant
94,noise
80,relevant
81,relevant
82,noise
83,noise
84,noise
105,relevant
106,noise
107,noise
108,noise
109,noise
100,noise
101,relevant
102,noise
103,relevant
104,relevant
115,relevant
116,relevant
117,relevant
118,noise
119,noise
110,relevant
111,noise
112,relevant
113,noise
114,relevant
120,noise
121,noise
122,relevant
123,noise
124,relevant
125,noise
126,noise
127,relevant
128,noise
129,relevant
130,relevant
131,relevant
132,relevant
133,relevant
134,relevant
140,relevant
141,noise
142,noise
143,noise
144,relevant
145,noise
146,relevant
147,noise
148,relevant
149,noise
95,relevant
96,noise
97,relevant
98,relevant
99,noise
135,relevant
136,noise
137,noise
138,relevant
139,noise
150,noise
151,noise
152,noise
153,relevant
154,relevant
165,relevant
166,noise
167,noise
168,noise
169,noise
160,noise
161,relevant
162,noise
163,noise
164,relevant
175,relevant
176,relevant
177,relevant
178,noise
179,relevant
180,relevant
181,relevant
182,relevant
183,noise
184,relevant
170,noise
171,relevant
172,relevant
173,relevant
174,noise
190,noise
191,relevant
192,noise
193,noise
194,relevant
195,noise
196,relevant
197,relevant
198,relevant
199,relevant
185,noise
186,noise
187,noise
188,noise
189,relevant
205,relevant
206,relevant
207,noise
208,noise
209,relevant
200,relevant
201,relevant
202,relevant
203,noise
204,relevant
210,relevant
211,relevant
212,noise
213,noise
214,noise
155,noise
156,relevant
157,noise
158,relevant
159,relevant
215,relevant
216,relevant
217,noise
218,noise
219,relevant
220,relevant
221,noise
222,relevant
223,noise
224,relevant
235,relevant
236,relevant
237,relevant
238,relevant
239,relevant
230,relevant
231,noise
232,relevant
233,noise
234,relevant
225,relevant
226,relevant
227,relevant
228,relevant
229,relevant
240,noise
241,relevant
242,relevant
243,noise
244,noise
250,noise
251,noise
252,noise
253,noise
254,noise
245,relevant
246,relevant
247,noise
248,noise
249,relevant
255,noise
256,noise
257,relevant
258,noise
259,relevant
260,relevant
261,noise
262,relevant
263,relevant
264,relevant
270,relevant
271,noise
272,relevant
273,relevant
274,relevant
265,relevant
266,relevant
267,noise
268,noise
269,noise
275,noise
276,noise
277,noise
278,noise
279,noise
280,noise
281,noise
282,relevant
283,relevant
284,relevant
285,relevant
286,noise
287,noise
288,noise
289,noise
290,noise
291,relevant
292,relevant
293,noise
294,relevant
295,relevant
296,noise
297,relevant
298,relevant
299,noise
300,noise
301,noise
302,relevant
303,relevant
304,noise
315,noise
316,noise
317,noise
318,relevant
319,noise
310,noise
311,noise
312,noise
313,noise
314,noise
305,relevant
306,relevant
307,noise
308,relevant
309,noise
320,noise
321,noise
322,relevant
323,noise
324,relevant
325,relevant
326,noise
327,noise
328,noise
329,relevant
330,relevant
331,relevant
332,relevant
333,relevant
334,relevant
335,noise
336,noise
337,noise
338,noise
339,relevant
345,noise
346,noise
347,noise
348,relevant
349,noise
350,relevant
351,noise
352,noise
353,relevant
354,noise
340,relevant
341,noise
342,noise
343,relevant
344,relevant
355,relevant
356,relevant
357,noise
358,relevant
359,noise
360,noise
361,noise
362,relevant
363,relevant
364,noise
375,noise
376,noise
377,noise
378,noise
379,noise
370,noise
371,noise
372,noise
373,noise
374,noise
365,error:badformat
366,error:badformat
367,error:badformat
368,error:badformat
369,error:badformat
380,relevant
381,relevant
382,noise
383,relevant
384,relevant
390,error:badformat
391,error:badformat
392,error:badformat
393,error:badformat
394,error:badformat
395,relevant
396,relevant
397,noise
398,relevant
399,relevant
385,noise
386,relevant
387,noise
388,relevant
389,noise
405,noise
406,noise
407,noise
408,noise
409,noise
400,relevant
401,noise
402,relevant
403,relevant
404,noise
415,relevant
416,relevant
417,relevant
418,relevant
419,relevant
410,noise
411,noise
412,relevant
413,relevant
414,noise
425,noise
426,relevant
427,noise
428,relevant
429,relevant
420,noise
421,noise
422,relevant
423,relevant
424,relevant
430,noise
431,relevant
432,relevant
433,relevant
434,relevant
435,noise
436,noise
437,relevant
438,noise
439,relevant
440,relevant
441,relevant
442,relevant
443,noise
444,noise
445,relevant
446,noise
447,noise
448,noise
449,noise
450,noise
451,relevant
452,relevant
453,noise
454,relevant
460,relevant
461,relevant
462,noise
463,noise
464,noise
455,relevant
456,noise
457,noise
458,relevant
459,relevant
465,noise
466,noise
467,noise
468,noise
469,noise
470,noise
471,noise
472,noise
473,relevant
474,noise
485,noise
486,noise
487,noise
488,noise
489,noise
475,error:badformat
476,error:badformat
477,error:badformat
478,error:badformat
479,error:badformat
490,noise
491,noise
492,relevant
493,relevant
494,noise
500,relevant
501,relevant
502,relevant
503,relevant
504,relevant
510,relevant
511,noise
512,noise
513,relevant
514,relevant
495,noise
496,noise
497,relevant
498,relevant
499,noise
505,noise
506,noise
507,noise
508,noise
509,noise
515,noise
516,relevant
517,noise
518,noise
519,noise
480,relevant
481,relevant
482,relevant
483,noise
484,noise
520,relevant
521,relevant
522,noise
523,noise
524,noise
525,noise
